etablissement_id,site_web,adresse,nb_etudiants,url_logo,url_image
0572341K,https://www.jean23.org/lycee.html,10 rue Monseigneur Heintz 57950 Montigny-lès-Metz,524,,
0572341K,https://www.jean23.org/lycee.html,10 rue Monseigneur Heintz 57950 Montigny-lès-Metz,563,,
0280925D,http://lyceegilbertcourtois.com/,2 rue Salvador Allende BP 30257 28105 Dreux,270,,
0280925D,http://lyceegilbertcourtois.com/,2 rue Salvador Allende BP 30257 28105 Dreux,273,,
6200043C,https://cit-clemenceau-sartene.leia.corsica,Boulevard Jean Nicolai Cité scolaire 20100 Sartène,230,,
6200043C,https://cit-clemenceau-sartene.leia.corsica,Boulevard Jean Nicolai Cité scolaire 20100 Sartène,245,,
0311201M,http://www.myriam31.com,9 et 20 rue Mage 31000 Toulouse,,,
0382170C,https://www.se.fr/ecole,10 rue Aimé Pupin 38000 Grenoble,58,,
0382170C,https://www.se.fr/ecole,10 rue Aimé Pupin 38000 Grenoble,71,,
0371099U,http://www.lp-becquerel.eu,1 rue Jules Ladoumègue 37000 Tours,367,,
0371099U,http://www.lp-becquerel.eu,1 rue Jules Ladoumègue 37000 Tours,373,,
0820001F,https://lycee-metiers-beaumont.mon-ent-occitanie.fr,578 avenue de Gascogne 82500 Beaumont-de-Lomagne,309,,
0820001F,https://lycee-metiers-beaumont.mon-ent-occitanie.fr,578 avenue de Gascogne 82500 Beaumont-de-Lomagne,318,,
0942269F,http://www.lyceepaulineroland.fr/,17 avenue du Général de Gaulle 94550 Chevilly-Larue,739,,
0942269F,http://www.lyceepaulineroland.fr/,17 avenue du Général de Gaulle 94550 Chevilly-Larue,898,,
0382031B,https://thomas-edison.ent.auvergnerhonealpes.fr/,8 rue Carmagnole Liberté 38130 Echirolles,253,,
0382031B,https://thomas-edison.ent.auvergnerhonealpes.fr/,8 rue Carmagnole Liberté 38130 Echirolles,256,,
0352446U,http://www.lyceehotelier.com,1 rue du 8 Mai BP 73028 35130 La Guerche-de-Bretagne,149,,http://commons.wikimedia.org/wiki/Special:FilePath/Lyc%C3%A9e%20professionnel%20h%C3%B4telier%20Sainte-Th%C3%A9r%C3%A8se%20de%20La%20Guerche-de-Bretagne.jpg
